,Unnamed: 0,person_scene,series_num,num_lines,num_words
177,177,Leonard,Series 01,1,6
178,178,Penny,Series 01,2,6
179,179,Sheldon,Series 01,2,6
180,180,Leonard,Series 01,1,2
181,181,Sheldon,Series 01,1,18
182,182,Leonard,Series 01,1,15
183,183,Sheldon,Series 01,3,28
184,184,Leonard,Series 01,1,9
185,185,Sheldon,Series 01,1,9
186,186,Leonard,Series 01,1,2
187,187,Sheldon,Series 01,1,12
188,188,Leonard,Series 01,1,10
189,189,Sheldon,Series 01,2,8
190,190,Leonard,Series 01,1,20
191,191,Sheldon,Series 01,1,7
192,192,Leonard,Series 01,1,18
193,193,Sheldon,Series 01,1,3
194,194,Leonard,Series 01,2,20
195,195,Sheldon,Series 01,1,20
196,196,Leonard,Series 01,2,17
197,197,Howard,Series 01,1,5
198,198,Raj,Series 01,2,4
199,199,Leonard,Series 01,1,2
200,200,Howard,Series 01,1,10
201,201,Leonard,Series 01,1,6
202,202,Howard,Series 01,1,9
203,203,Leonard,Series 01,1,8
204,204,Raj,Series 01,1,1
205,205,Leonard,Series 01,1,7
206,206,Sheldon,Series 01,1,5
207,207,Howard,Series 01,1,7
208,208,Leonard,Series 01,2,13
209,209,Howard,Series 01,1,8
210,210,Leonard,Series 01,1,2
211,211,Howard,Series 01,1,10
212,212,Leonard,Series 01,1,5
213,213,Howard,Series 01,1,6
214,214,Leonard,Series 01,1,6
215,215,Sheldon,Series 01,1,6
216,216,Penny,Series 01,4,18
217,217,Howard,Series 01,3,32
218,218,Penny,Series 01,2,7
219,219,Leonard,Series 01,1,11
220,220,Howard,Series 01,1,2
221,221,Penny,Series 01,1,3
222,222,Howard,Series 01,2,16
223,223,Leonard,Series 01,1,6
224,224,Howard,Series 01,1,5
226,226,Leonard,Series 01,1,9
227,227,Penny,Series 01,3,2
228,228,Leonard,Series 01,1,13
229,229,Penny,Series 01,1,2
230,230,Leonard,Series 01,1,6
231,231,Penny,Series 01,2,8
232,232,Leonard,Series 01,1,17
233,233,Penny,Series 01,1,7
234,234,Leonard,Series 01,1,6
235,235,Penny,Series 01,1,16
236,236,Leonard,Series 01,1,1
238,238,Sheldon,Series 01,1,11
239,239,Leonard,Series 01,1,2
240,240,Sheldon,Series 01,5,46
241,241,Leonard,Series 01,1,9
242,242,Sheldon,Series 01,1,27
243,243,Leonard,Series 01,1,2
244,244,Sheldon,Series 01,1,5
245,245,Leonard,Series 01,1,12
246,246,Sheldon,Series 01,2,28
247,247,Leonard,Series 01,1,10
248,248,Sheldon,Series 01,2,8
249,249,Leonard,Series 01,1,8
250,250,Sheldon,Series 01,1,13
251,251,Leonard,Series 01,4,41
252,252,Sheldon,Series 01,1,9
253,253,Leonard,Series 01,2,19
254,254,Sheldon,Series 01,2,10
256,256,Raj),Series 01,1,11
257,257,Penny,Series 01,1,8
258,258,Howard,Series 01,1,10
259,259,Penny,Series 01,1,2
260,260,Howard,Series 01,2,8
262,262,buzzer),Series 01,1,5
263,263,buzzer,Series 01,1,1
264,264,Leonard,Series 01,1,7
265,265,Sheldon,Series 01,1,1
266,266,Leonard,Series 01,2,14
267,267,Voice,Series 01,1,2
268,268,Sheldon,Series 01,1,5
269,269,Leonard,Series 01,1,10
270,270,Sheldon,Series 01,1,19
271,271,Leonard,Series 01,1,33
272,272,Sheldon,Series 01,2,6
273,273,Sheldon,Series 01,1,11
274,274,Leonard,Series 01,1,23
275,275,Sheldon,Series 01,1,8
276,276,Leonard,Series 01,1,4
278,278,Leonard,Series 01,2,9
279,279,Sheldon,Series 01,1,8
280,280,man,Series 01,1,1
281,281,Leonard,Series 01,1,6
282,282,Sheldon,Series 01,1,3
283,283,Man,Series 01,1,9
284,284,Leonard,Series 01,2,4
285,285,Sheldon,Series 01,1,5
287,287,Sheldon,Series 01,1,1
288,288,Leonard,Series 01,1,1
289,289,Sheldon,Series 01,1,6
290,290,Leonard,Series 01,1,3
291,291,Sheldon,Series 01,1,8
293,293,Leonard,Series 01,1,10
294,294,Sheldon,Series 01,2,16
295,295,Leonard,Series 01,1,24
296,296,Sheldon,Series 01,1,8
297,297,Leonard,Series 01,2,36
298,298,Sheldon,Series 01,1,12
299,299,Leonard,Series 01,1,8
300,300,Sheldon,Series 01,1,11
302,302,Howard,Series 01,1,19
303,303,Penny,Series 01,1,3
304,304,Howard,Series 01,3,29
305,305,Penny,Series 01,1,3
306,306,Howard,Series 01,1,6
307,307,Penny,Series 01,1,14
308,308,Raj,Series 01,1,1
309,309,Leonard,Series 01,1,3
310,310,Penny,Series 01,1,5
311,311,Leonard,Series 01,1,16
312,312,Penny,Series 01,1,21
313,313,Leonard,Series 01,1,6
314,314,Sheldon,Series 01,1,10
315,315,Penny,Series 01,2,35
316,316,Leonard,Series 01,1,2
317,317,Sheldon,Series 01,2,10
318,318,Leonard,Series 01,1,7
319,319,Sheldon,Series 01,1,4
